"age","sex","age5_str","cw","co","age5_start","mx","qx","lx","dx","ex","tto","dsu_2014"
0,"female","16-17",0.880881396147728,0.877652281742187,16,0.003582,0.003576,1e+05,357.6,83.33,0.90377268173794,0.9103
0,"male","16-17",0.915652209483253,0.917965536040096,16,0.004321,0.004312,1e+05,431.2,79.67,0.94760401074775,0.9446
1,"female","16-17",0.880881396147728,0.877652281742187,16,0.000213,0.000213,99642.4,21.2,82.63,0.90377268173794,0.9103
1,"male","16-17",0.915652209483253,0.917965536040096,16,0.000242,0.000242,99568.8,24.1,79.02,0.94760401074775,0.9446
10,"female","16-17",0.880881396147728,0.877652281742187,16,6.4e-05,6.4e-05,99558.3,6.4,73.7,0.90377268173794,0.9103
10,"male","16-17",0.915652209483253,0.917965536040096,16,7.2e-05,7.2e-05,99475,7.2,70.09,0.94760401074775,0.9446
100,"female","90+",0.66505869837287,0.665657184113675,90,0.424693,0.350306,2787,976.3,2.1,0.664475558184715,0.5934
100,"male","90+",0.662800654452411,0.655816057510311,90,0.481498,0.38807,1159.3,449.9,1.94,0.708409650215048,0.6946
11,"female","16-17",0.880881396147728,0.877652281742187,16,6.2e-05,6.2e-05,99551.9,6.2,72.7,0.90377268173794,0.9103
11,"male","16-17",0.915652209483253,0.917965536040096,16,8.1e-05,8.1e-05,99467.8,8.1,69.09,0.94760401074775,0.9446
12,"female","16-17",0.880881396147728,0.877652281742187,16,5.7e-05,5.7e-05,99545.8,5.6,71.71,0.90377268173794,0.9103
12,"male","16-17",0.915652209483253,0.917965536040096,16,0.000105,0.000105,99459.7,10.4,68.1,0.94760401074775,0.9446
13,"female","16-17",0.880881396147728,0.877652281742187,16,7.9e-05,7.9e-05,99540.1,7.9,70.71,0.90377268173794,0.9103
13,"male","16-17",0.915652209483253,0.917965536040096,16,0.000125,0.000125,99449.3,12.4,67.11,0.94760401074775,0.9446
