age,mx,qx,lx,dx,ex
0,0.004276,0.004267,100000.0,426.7,79.37
1,0.000243,0.000243,99573.3,24.2,78.71
2,0.000132,0.000132,99549.1,13.1,77.72
3,0.000101,0.000101,99536.0,10.0,76.73
4,0.000097,0.000097,99526.0,9.7,75.74
5,0.000085,0.000085,99516.3,8.5,74.75
6,0.000088,0.000088,99507.8,8.8,73.76
7,0.000069,0.000069,99499.1,6.8,72.76
8,0.000067,0.000067,99492.2,6.7,71.77
9,0.000059,0.000059,99485.5,5.9,70.77
10,0.000074,0.000074,99479.7,7.4,69.78
11,0.000085,0.000085,99472.3,8.5,68.78
12,0.000105,0.000105,99463.8,10.4,67.79
13,0.000127,0.000127,99453.4,12.6,66.79
14,0.000121,0.000121,99440.8,12.1,65.80
15,0.000174,0.000174,99428.7,17.3,64.81
16,0.000227,0.000227,99411.4,22.6,63.82
17,0.000316,0.000316,99388.8,31.4,62.84
18,0.000400,0.000400,99357.4,39.8,61.86
19,0.000448,0.000448,99317.6,44.5,60.88
20,0.000508,0.000508,99273.1,50.4,59.91
21,0.000513,0.000513,99222.7,50.9,58.94
22,0.000505,0.000504,99171.9,50.0,57.97
23,0.000505,0.000505,99121.8,50.0,57.00
24,0.000552,0.000552,99071.8,54.7,56.03
25,0.000598,0.000598,99017.1,59.2,55.06
26,0.000581,0.000581,98957.9,57.5,54.09
27,0.000621,0.000621,98900.4,61.4,53.12
28,0.000695,0.000695,98839.0,68.7,52.15
29,0.000732,0.000732,98770.3,72.3,51.19
30,0.000771,0.000771,98698.0,76.1,50.23
31,0.000835,0.000835,98621.9,82.3,49.26
32,0.000835,0.000835,98539.6,82.3,48.30
33,0.000929,0.000929,98457.3,91.5,47.34
34,0.000957,0.000957,98365.9,94.1,46.39
35,0.001074,0.001073,98271.7,105.5,45.43
36,0.001147,0.001146,98166.3,112.5,44.48
37,0.001310,0.001309,98053.7,128.3,43.53
38,0.001262,0.001261,97925.4,123.5,42.59
39,0.001400,0.001399,97801.9,136.8,41.64
40,0.001530,0.001529,97665.1,149.3,40.70
41,0.001671,0.001670,97515.7,162.8,39.76
42,0.001819,0.001818,97352.9,176.9,38.83
43,0.002004,0.002002,97175.9,194.6,37.90
44,0.002095,0.002093,96981.4,203.0,36.97
45,0.002350,0.002347,96778.4,227.2,36.05
46,0.002491,0.002488,96551.3,240.2,35.13
47,0.002700,0.002696,96311.0,259.7,34.22
48,0.002856,0.002852,96051.3,273.9,33.31
49,0.003194,0.003189,95777.4,305.4,32.40
50,0.003385,0.003379,95472.0,322.6,31.50
51,0.003612,0.003606,95149.4,343.1,30.61
52,0.003914,0.003907,94806.3,370.4,29.72
53,0.004133,0.004125,94436.0,389.5,28.83
54,0.004488,0.004478,94046.4,421.1,27.95
55,0.004772,0.004760,93625.3,445.7,27.07
56,0.005404,0.005389,93179.6,502.2,26.20
57,0.005874,0.005856,92677.4,542.8,25.34
58,0.006415,0.006394,92134.7,589.1,24.49
59,0.006954,0.006930,91545.5,634.4,23.64
60,0.007624,0.007595,90911.1,690.5,22.80
61,0.008348,0.008313,90220.6,750.0,21.97
62,0.009266,0.009223,89470.6,825.2,21.15
63,0.010230,0.010178,88645.4,902.3,20.34
64,0.011007,0.010947,87743.1,960.5,19.55
65,0.012097,0.012025,86782.6,1043.5,18.76
66,0.013419,0.013330,85739.0,1142.9,17.98
67,0.014542,0.014437,84596.1,1221.3,17.22
68,0.015864,0.015740,83374.8,1312.3,16.46
69,0.017440,0.017289,82062.5,1418.8,15.72
70,0.018455,0.018286,80643.8,1474.7,14.99
71,0.020484,0.020276,79169.1,1605.3,14.26
72,0.022578,0.022326,77563.8,1731.7,13.54
73,0.025829,0.025500,75832.1,1933.7,12.84
74,0.028524,0.028123,73898.4,2078.2,12.16
75,0.031903,0.031402,71820.2,2255.3,11.50
76,0.035742,0.035115,69564.8,2442.8,10.85
77,0.039607,0.038838,67122.1,2606.9,10.23
78,0.044489,0.043521,64515.2,2807.8,9.63
79,0.049284,0.048099,61707.4,2968.1,9.04
80,0.055479,0.053982,58739.4,3170.9,8.47
81,0.061932,0.060071,55568.5,3338.1,7.93
82,0.068800,0.066512,52230.4,3473.9,7.40
83,0.078350,0.075396,48756.5,3676.0,6.89
84,0.088506,0.084755,45080.5,3820.8,6.41
85,0.099367,0.094664,41259.7,3905.8,5.96
86,0.112884,0.106853,37353.9,3991.4,5.53
87,0.126060,0.118585,33362.5,3956.3,5.14
88,0.142887,0.133359,29406.2,3921.6,4.76
89,0.161989,0.149851,25484.6,3818.9,4.41
90,0.173358,0.159530,21665.7,3456.3,4.10
91,0.196662,0.179055,18209.4,3260.5,3.79
92,0.218463,0.196950,14948.9,2944.2,3.51
93,0.240952,0.215044,12004.7,2581.5,3.24
94,0.270259,0.238086,9423.2,2243.5,2.99
95,0.300189,0.261012,7179.6,1874.0,2.77
96,0.334696,0.286714,5305.7,1521.2,2.58
97,0.358648,0.304113,3784.5,1150.9,2.41
98,0.389331,0.325892,2633.6,858.3,2.25
99,0.453296,0.369540,1775.3,656.0,2.09
100,0.475839,0.384386,1119.3,430.2,2.02
