"age","sex","cw","age5_start","age5_str","mx","qx","lx","dx","ex"
0,"female",0.880881396147728,16,"16-17",0.003542,0.003536,100000,353.6,83.06
0,"male",0.915652209483253,16,"16-17",0.004276,0.004267,100000,426.7,79.37
1,"female",0.880881396147728,16,"16-17",0.000213,0.000213,99646.4,21.2,82.35
1,"male",0.915652209483253,16,"16-17",0.000243,0.000243,99573.3,24.2,78.71
2,"female",0.880881396147728,16,"16-17",0.000127,0.000127,99625.2,12.6,81.37
2,"male",0.915652209483253,16,"16-17",0.000132,0.000132,99549.1,13.1,77.72
3,"female",0.880881396147728,16,"16-17",0.000098,0.000098,99612.6,9.8,80.38
3,"male",0.915652209483253,16,"16-17",0.000101,0.000101,99536,10,76.73
4,"female",0.880881396147728,16,"16-17",0.000068,0.000068,99602.7,6.7,79.39
4,"male",0.915652209483253,16,"16-17",0.000097,0.000097,99526,9.7,75.74
5,"female",0.880881396147728,16,"16-17",0.000086,0.000086,99596,8.6,78.39
5,"male",0.915652209483253,16,"16-17",0.000085,0.000085,99516.3,8.5,74.75
6,"female",0.880881396147728,16,"16-17",0.000082,0.000082,99587.4,8.1,77.4
6,"male",0.915652209483253,16,"16-17",0.000088,0.000088,99507.8,8.8,73.76
7,"female",0.880881396147728,16,"16-17",0.000062,0.000062,99579.3,6.2,76.41
7,"male",0.915652209483253,16,"16-17",0.000069,0.000069,99499.1,6.8,72.76
8,"female",0.880881396147728,16,"16-17",0.000064,0.000064,99573.1,6.4,75.41
8,"male",0.915652209483253,16,"16-17",0.000067,0.000067,99492.2,6.7,71.77
9,"female",0.880881396147728,16,"16-17",0.000053,0.000053,99566.7,5.3,74.42
9,"male",0.915652209483253,16,"16-17",0.000059,0.000059,99485.5,5.9,70.77
10,"female",0.880881396147728,16,"16-17",0.000064,0.000064,99561.5,6.4,73.42
10,"male",0.915652209483253,16,"16-17",0.000074,0.000074,99479.7,7.4,69.78
11,"female",0.880881396147728,16,"16-17",0.000066,0.000066,99555.1,6.5,72.42
11,"male",0.915652209483253,16,"16-17",0.000085,0.000085,99472.3,8.5,68.78
12,"female",0.880881396147728,16,"16-17",0.00006,0.00006,99548.5,5.9,71.43
12,"male",0.915652209483253,16,"16-17",0.000105,0.000105,99463.8,10.4,67.79
13,"female",0.880881396147728,16,"16-17",0.00008,0.00008,99542.6,8,70.43
13,"male",0.915652209483253,16,"16-17",0.000127,0.000127,99453.4,12.6,66.79
14,"female",0.880881396147728,16,"16-17",0.000101,0.000101,99534.6,10.1,69.44
14,"male",0.915652209483253,16,"16-17",0.000121,0.000121,99440.8,12.1,65.8
15,"female",0.880881396147728,16,"16-17",0.000112,0.000112,99524.6,11.1,68.45
15,"male",0.915652209483253,16,"16-17",0.000174,0.000174,99428.7,17.3,64.81
16,"female",0.880881396147728,16,"16-17",0.000147,0.000147,99513.4,14.6,67.45
16,"male",0.915652209483253,16,"16-17",0.000227,0.000227,99411.4,22.6,63.82
17,"female",0.880881396147728,16,"16-17",0.000159,0.000159,99498.8,15.8,66.46
17,"male",0.915652209483253,16,"16-17",0.000316,0.000316,99388.8,31.4,62.84
18,"female",0.863698144490791,18,"18-19",0.000227,0.000227,99483,22.6,65.47
18,"male",0.933260367430998,18,"18-19",0.0004,0.0004,99357.4,39.8,61.86
19,"female",0.863698144490791,18,"18-19",0.0002,0.0002,99460.4,19.9,64.49
19,"male",0.933260367430998,18,"18-19",0.000448,0.000448,99317.6,44.5,60.88
20,"female",0.865875425510669,20,"20-24",0.00019,0.00019,99440.5,18.9,63.5
20,"male",0.894801751478044,20,"20-24",0.000508,0.000508,99273.1,50.4,59.91
21,"female",0.865875425510669,20,"20-24",0.000211,0.000211,99421.6,21,62.51
21,"male",0.894801751478044,20,"20-24",0.000513,0.000513,99222.7,50.9,58.94
22,"female",0.865875425510669,20,"20-24",0.000229,0.000229,99400.6,22.7,61.53
22,"male",0.894801751478044,20,"20-24",0.000505,0.000504,99171.9,50,57.97
23,"female",0.865875425510669,20,"20-24",0.000222,0.000222,99377.9,22,60.54
23,"male",0.894801751478044,20,"20-24",0.000505,0.000505,99121.8,50,57
24,"female",0.865875425510669,20,"20-24",0.000222,0.000222,99355.8,22.1,59.55
24,"male",0.894801751478044,20,"20-24",0.000552,0.000552,99071.8,54.7,56.03
25,"female",0.872808316551781,25,"25-29",0.000254,0.000254,99333.8,25.2,58.57
