"X_Y5_1","X_Y5_2","X_Y5_3","X_Y5_4","X_Y5_5","X_age5grp","X_male","X_U5UK","Output","Domain","X_age","X_U5"
1,1,1,1,1,"18-34",1,1,0.986651549218558,"11111",1,1
1,1,1,1,2,"18-34",1,0.922,0.893071147265691,"11112",1,0.922
1,1,1,1,3,"18-34",1,0.896,0.819856078898237,"11113",1,0.896
1,1,1,1,4,"18-34",1,0.715,0.594276944103579,"11114",1,0.715
1,1,1,1,5,"18-34",1,0.711,0.427496783967323,"11115",1,0.711
1,1,1,2,1,"18-34",1,0.937,0.876284246577818,"11121",1,0.937
1,1,1,2,2,"18-34",1,0.859,0.805087480762595,"11122",1,0.859
1,1,1,2,3,"18-34",1,0.833,0.747672733630537,"11123",1,0.833
1,1,1,2,4,"18-34",1,0.652,0.52035016863762,"11124",1,0.652
1,1,1,2,5,"18-34",1,0.648,0.344787546666828,"11125",1,0.648
1,1,1,3,1,"18-34",1,0.916,0.812359516719731,"11131",1,0.916
1,1,1,3,2,"18-34",1,0.838,0.73942722540477,"11132",1,0.838
1,1,1,3,3,"18-34",1,0.812,0.682552859240062,"11133",1,0.812
1,1,1,3,4,"18-34",1,0.631,0.460353900496698,"11134",1,0.631
1,1,1,3,5,"18-34",1,0.627,0.283243771260802,"11135",1,0.627
1,1,1,4,1,"18-34",1,0.724,0.873379054633173,"11141",1,0.724
1,1,1,4,2,"18-34",1,0.646,0.769947815634238,"11142",1,0.646
1,1,1,4,3,"18-34",1,0.62,0.681560841014604,"11143",1,0.62
1,1,1,4,4,"18-34",1,0.439,0.434429526755685,"11144",1,0.439
1,1,1,4,5,"18-34",1,0.435,0.249255969191934,"11145",1,0.435
1,1,1,5,1,"18-34",1,0.665,0.874355799819283,"11151",1,0.665
1,1,1,5,2,"18-34",1,0.587,0.777782319607529,"11152",1,0.587
1,1,1,5,3,"18-34",1,0.561,0.704334711811329,"11153",1,0.561
1,1,1,5,4,"18-34",1,0.38,0.463159789150109,"11154",1,0.38
1,1,1,5,5,"18-34",1,0.376,0.276905306186946,"11155",1,0.376
1,1,2,1,1,"18-34",1,0.95,0.93244041263284,"11211",1,0.95
1,1,2,1,2,"18-34",1,0.872,0.856244395704358,"11212",1,0.872
1,1,2,1,3,"18-34",1,0.846,0.792120518206554,"11213",1,0.846
