"age","sex","age_start","age5_str","tto","mx","qx","lx","dx","ex"
0,"female",18,"18-24",0.94,0.003582,0.003576,1e+05,357.6,83.33
0,"male",18,"18-24",0.94,0.004321,0.004312,1e+05,431.2,79.67
1,"female",18,"18-24",0.94,0.000213,0.000213,99642.4,21.2,82.63
1,"male",18,"18-24",0.94,0.000242,0.000242,99568.8,24.1,79.02
2,"female",18,"18-24",0.94,0.000125,0.000125,99621.2,12.4,81.65
2,"male",18,"18-24",0.94,0.000132,0.000132,99544.7,13.2,78.04
3,"female",18,"18-24",0.94,9.8e-05,9.8e-05,99608.8,9.8,80.66
3,"male",18,"18-24",0.94,0.000102,0.000102,99531.5,10.1,77.05
4,"female",18,"18-24",0.94,6.4e-05,6.4e-05,99599,6.4,79.67
4,"male",18,"18-24",0.94,9.4e-05,9.4e-05,99521.4,9.4,76.06
5,"female",18,"18-24",0.94,8.5e-05,8.5e-05,99592.6,8.5,78.67
5,"male",18,"18-24",0.94,8.9e-05,8.9e-05,99512,8.9,75.06
6,"female",18,"18-24",0.94,7.9e-05,7.9e-05,99584.1,7.8,77.68
6,"male",18,"18-24",0.94,8.3e-05,8.3e-05,99503.1,8.3,74.07
7,"female",18,"18-24",0.94,6.1e-05,6.1e-05,99576.3,6,76.68
7,"male",18,"18-24",0.94,7.3e-05,7.3e-05,99494.8,7.3,73.08
8,"female",18,"18-24",0.94,6.4e-05,6.4e-05,99570.3,6.3,75.69
8,"male",18,"18-24",0.94,6.4e-05,6.4e-05,99487.5,6.4,72.08
9,"female",18,"18-24",0.94,5.6e-05,5.6e-05,99563.9,5.6,74.69
9,"male",18,"18-24",0.94,6.2e-05,6.2e-05,99481.1,6.2,71.09
10,"female",18,"18-24",0.94,6.4e-05,6.4e-05,99558.3,6.4,73.7
10,"male",18,"18-24",0.94,7.2e-05,7.2e-05,99475,7.2,70.09
11,"female",18,"18-24",0.94,6.2e-05,6.2e-05,99551.9,6.2,72.7
11,"male",18,"18-24",0.94,8.1e-05,8.1e-05,99467.8,8.1,69.09
12,"female",18,"18-24",0.94,5.7e-05,5.7e-05,99545.8,5.6,71.71
12,"male",18,"18-24",0.94,0.000105,0.000105,99459.7,10.4,68.1
13,"female",18,"18-24",0.94,7.9e-05,7.9e-05,99540.1,7.9,70.71
13,"male",18,"18-24",0.94,0.000125,0.000125,99449.3,12.4,67.11
14,"female",18,"18-24",0.94,9.2e-05,9.2e-05,99532.2,9.1,69.72
14,"male",18,"18-24",0.94,0.000116,0.000116,99436.9,11.5,66.12
15,"female",18,"18-24",0.94,9.8e-05,9.8e-05,99523.1,9.8,68.72
15,"male",18,"18-24",0.94,0.000169,0.000169,99425.4,16.8,65.12
16,"female",18,"18-24",0.94,0.000148,0.000148,99513.3,14.7,67.73
16,"male",18,"18-24",0.94,0.00022,0.00022,99408.5,21.9,64.13
17,"female",18,"18-24",0.94,0.000159,0.000159,99498.6,15.8,66.74
17,"male",18,"18-24",0.94,0.000303,0.000303,99386.7,30.2,63.15
18,"female",18,"18-24",0.94,0.000211,0.000211,99482.8,20.9,65.75
18,"male",18,"18-24",0.94,0.000387,0.000387,99356.5,38.5,62.17
19,"female",18,"18-24",0.94,0.000194,0.000194,99461.8,19.3,64.76
19,"male",18,"18-24",0.94,0.000415,0.000415,99318,41.2,61.19
20,"female",18,"18-24",0.94,0.000179,0.000179,99442.6,17.8,63.78
20,"male",18,"18-24",0.94,0.000503,0.000503,99276.8,49.9,60.22
21,"female",18,"18-24",0.94,0.000201,0.000201,99424.8,20,62.79
21,"male",18,"18-24",0.94,0.000498,0.000498,99226.9,49.4,59.25
22,"female",18,"18-24",0.94,0.000215,0.000215,99404.8,21.4,61.8
22,"male",18,"18-24",0.94,0.000479,0.000478,99177.4,47.5,58.28
23,"female",18,"18-24",0.94,2e-04,2e-04,99383.4,19.9,60.81
23,"male",18,"18-24",0.94,0.00047,0.00047,99130,46.6,57.3
24,"female",18,"18-24",0.94,0.000218,0.000218,99363.5,21.6,59.82
24,"male",18,"18-24",0.94,0.000513,0.000513,99083.4,50.8,56.33
25,"female",25,"25-34",0.93,0.000244,0.000244,99341.9,24.3,58.84
25,"male",25,"25-34",0.93,0.000538,0.000538,99032.6,53.3,55.36
26,"female",25,"25-34",0.93,0.000259,0.000259,99317.7,25.7,57.85
26,"male",25,"25-34",0.93,0.000543,0.000543,98979.3,53.7,54.39
27,"female",25,"25-34",0.93,0.00027,0.00027,99291.9,26.9,56.87
27,"male",25,"25-34",0.93,0.000574,0.000574,98925.6,56.7,53.42
28,"female",25,"25-34",0.93,0.000304,0.000304,99265.1,30.2,55.88
28,"male",25,"25-34",0.93,0.000629,0.000629,98868.8,62.1,52.45
29,"female",25,"25-34",0.93,0.000302,0.000302,99234.9,30,54.9
29,"male",25,"25-34",0.93,0.000664,0.000664,98806.7,65.6,51.48
30,"female",25,"25-34",0.93,0.000358,0.000358,99204.9,35.5,53.92
30,"male",25,"25-34",0.93,0.000711,0.000711,98741.1,70.2,50.51
31,"female",25,"25-34",0.93,0.000369,0.000369,99169.4,36.6,52.93
31,"male",25,"25-34",0.93,0.000772,0.000772,98670.9,76.2,49.55
32,"female",25,"25-34",0.93,0.000436,0.000436,99132.9,43.2,51.95
32,"male",25,"25-34",0.93,0.000756,0.000755,98594.7,74.5,48.59
33,"female",25,"25-34",0.93,0.000451,0.000451,99089.7,44.7,50.98
33,"male",25,"25-34",0.93,0.000861,0.000861,98520.2,84.8,47.62
34,"female",25,"25-34",0.93,0.000525,0.000525,99045,52,50
34,"male",25,"25-34",0.93,0.000893,0.000892,98435.4,87.8,46.66
35,"female",35,"35-44",0.91,0.000554,0.000554,98993,54.8,49.03
35,"male",35,"35-44",0.91,0.000968,0.000967,98347.6,95.1,45.71
36,"female",35,"35-44",0.91,0.000583,0.000583,98938.1,57.7,48.05
36,"male",35,"35-44",0.91,0.001051,0.00105,98252.5,103.2,44.75
37,"female",35,"35-44",0.91,0.000746,0.000746,98880.5,73.8,47.08
37,"male",35,"35-44",0.91,0.001212,0.001211,98149.3,118.9,43.8
38,"female",35,"35-44",0.91,0.000703,0.000703,98806.7,69.4,46.11
38,"male",35,"35-44",0.91,0.001179,0.001178,98030.4,115.5,42.85
39,"female",35,"35-44",0.91,0.000771,0.00077,98737.2,76.1,45.15
39,"male",35,"35-44",0.91,0.001291,0.00129,97914.9,126.3,41.9
40,"female",35,"35-44",0.91,0.000829,0.000828,98661.2,81.7,44.18
40,"male",35,"35-44",0.91,0.001431,0.00143,97788.6,139.8,40.95
41,"female",35,"35-44",0.91,0.000916,0.000916,98579.5,90.2,43.22
41,"male",35,"35-44",0.91,0.001535,0.001534,97648.7,149.8,40.01
42,"female",35,"35-44",0.91,0.001028,0.001027,98489.2,101.2,42.26
42,"male",35,"35-44",0.91,0.001678,0.001676,97498.9,163.4,39.07
43,"female",35,"35-44",0.91,0.001098,0.001098,98388,108,41.3
43,"male",35,"35-44",0.91,0.001853,0.001851,97335.5,180.2,38.14
44,"female",35,"35-44",0.91,0.001261,0.00126,98280,123.8,40.34
44,"male",35,"35-44",0.91,0.001962,0.00196,97155.3,190.4,37.21
45,"female",45,"45-54",0.85,0.001361,0.00136,98156.2,133.5,39.39
45,"male",45,"45-54",0.84,0.002226,0.002223,96964.9,215.6,36.28
46,"female",45,"45-54",0.85,0.001495,0.001494,98022.7,146.4,38.45
46,"male",45,"45-54",0.84,0.002306,0.002304,96749.3,222.9,35.36
47,"female",45,"45-54",0.85,0.00162,0.001618,97876.3,158.4,37.5
47,"male",45,"45-54",0.84,0.002573,0.00257,96526.4,248.1,34.44
48,"female",45,"45-54",0.85,0.001772,0.00177,97717.9,173,36.56
48,"male",45,"45-54",0.84,0.002719,0.002715,96278.4,261.4,33.53
49,"female",45,"45-54",0.85,0.001899,0.001897,97544.9,185,35.63
49,"male",45,"45-54",0.84,0.003047,0.003042,96017,292.1,32.62
50,"female",45,"45-54",0.85,0.002091,0.002089,97359.9,203.4,34.69
50,"male",45,"45-54",0.84,0.003239,0.003233,95724.8,309.5,31.71
51,"female",45,"45-54",0.85,0.002277,0.002274,97156.5,221,33.77
51,"male",45,"45-54",0.84,0.003496,0.00349,95415.3,333,30.81
52,"female",45,"45-54",0.85,0.002478,0.002474,96935.5,239.9,32.84
52,"male",45,"45-54",0.84,0.003755,0.003748,95082.3,356.4,29.92
53,"female",45,"45-54",0.85,0.002591,0.002587,96695.6,250.2,31.92
53,"male",45,"45-54",0.84,0.004021,0.004013,94725.9,380.1,29.03
54,"female",45,"45-54",0.85,0.002773,0.00277,96445.5,267.1,31
54,"male",45,"45-54",0.84,0.004318,0.004309,94345.8,406.5,28.15
55,"female",55,"55-64",0.81,0.003089,0.003084,96178.3,296.6,30.09
55,"male",55,"55-64",0.78,0.004653,0.004642,93939.3,436.1,27.27
56,"female",55,"55-64",0.81,0.0034,0.003395,95881.7,325.5,29.18
56,"male",55,"55-64",0.78,0.005192,0.005178,93503.2,484.2,26.39
57,"female",55,"55-64",0.81,0.003689,0.003682,95556.2,351.9,28.28
57,"male",55,"55-64",0.78,0.005695,0.005678,93019,528.2,25.53
58,"female",55,"55-64",0.81,0.004082,0.004073,95204.4,387.8,27.38
58,"male",55,"55-64",0.78,0.006208,0.006189,92490.8,572.4,24.67
59,"female",55,"55-64",0.81,0.004403,0.004393,94816.6,416.5,26.49
59,"male",55,"55-64",0.78,0.006728,0.006705,91918.3,616.3,23.82
60,"female",55,"55-64",0.81,0.004852,0.004841,94400,456.9,25.61
60,"male",55,"55-64",0.78,0.007414,0.007386,91302,674.4,22.98
61,"female",55,"55-64",0.81,0.005299,0.005285,93943.1,496.5,24.73
61,"male",55,"55-64",0.78,0.008049,0.008017,90627.6,726.5,22.14
62,"female",55,"55-64",0.81,0.006098,0.006079,93446.6,568.1,23.86
62,"male",55,"55-64",0.78,0.008998,0.008958,89901.1,805.3,21.32
63,"female",55,"55-64",0.81,0.006478,0.006457,92878.5,599.7,23
63,"male",55,"55-64",0.78,0.009929,0.00988,89095.8,880.3,20.51
64,"female",55,"55-64",0.81,0.007006,0.006982,92278.7,644.3,22.15
64,"male",55,"55-64",0.78,0.010735,0.010678,88215.5,942,19.71
65,"female",65,"65-74",0.78,0.007698,0.007668,91634.5,702.7,21.3
65,"male",65,"65-74",0.78,0.011872,0.011802,87273.5,1030,18.91
66,"female",65,"65-74",0.78,0.008278,0.008244,90931.8,749.7,20.46
66,"male",65,"65-74",0.78,0.012985,0.012901,86243.5,1112.6,18.13
67,"female",65,"65-74",0.78,0.009053,0.009012,90182.1,812.7,19.62
67,"male",65,"65-74",0.78,0.01416,0.01406,85130.9,1197,17.36
68,"female",65,"65-74",0.78,0.010082,0.010032,89369.4,896.5,18.8
68,"male",65,"65-74",0.78,0.01549,0.015371,83933.9,1290.1,16.6
69,"female",65,"65-74",0.78,0.01088,0.010821,88472.9,957.3,17.98
69,"male",65,"65-74",0.78,0.016987,0.016844,82643.8,1392.1,15.86
70,"female",65,"65-74",0.78,0.01203,0.011958,87515.5,1046.6,17.17
70,"male",65,"65-74",0.78,0.017956,0.017796,81251.8,1446,15.12
71,"female",65,"65-74",0.78,0.01297,0.012887,86469,1114.3,16.38
71,"male",65,"65-74",0.78,0.02001,0.019812,79805.8,1581.1,14.38
72,"female",65,"65-74",0.78,0.014884,0.014774,85354.7,1261,15.58
72,"male",65,"65-74",0.78,0.021869,0.021632,78224.7,1692.2,13.66
73,"female",65,"65-74",0.78,0.017035,0.016891,84093.7,1420.4,14.81
73,"male",65,"65-74",0.78,0.025311,0.024995,76532.5,1912.9,12.96
74,"female",65,"65-74",0.78,0.018668,0.018495,82673.2,1529.1,14.06
74,"male",65,"65-74",0.78,0.027602,0.027226,74619.6,2031.6,12.27
75,"female",75,"75+",0.71,0.020912,0.020696,81144.2,1679.4,13.31
75,"male",75,"75+",0.75,0.030891,0.030421,72588,2208.2,11.6
76,"female",75,"75+",0.71,0.023611,0.023336,79464.8,1854.4,12.58
76,"male",75,"75+",0.75,0.034948,0.034348,70379.8,2417.4,10.95
77,"female",75,"75+",0.71,0.026807,0.026453,77610.5,2053,11.87
77,"male",75,"75+",0.75,0.03867,0.037937,67962.4,2578.3,10.32
78,"female",75,"75+",0.71,0.030388,0.029934,75557.5,2261.7,11.18
78,"male",75,"75+",0.75,0.043514,0.042587,65384.2,2784.5,9.71
79,"female",75,"75+",0.71,0.034189,0.033615,73295.7,2463.8,10.51
79,"male",75,"75+",0.75,0.048056,0.046928,62599.6,2937.7,9.12
80,"female",75,"75+",0.71,0.038372,0.03765,70831.9,2666.8,9.86
80,"male",75,"75+",0.75,0.054329,0.052892,59662,3155.7,8.55
81,"female",75,"75+",0.71,0.043276,0.042359,68165.1,2887.4,9.22
81,"male",75,"75+",0.75,0.060667,0.058881,56506.3,3327.1,8
82,"female",75,"75+",0.71,0.049059,0.047884,65277.7,3125.8,8.61
82,"male",75,"75+",0.75,0.067296,0.065106,53179.2,3462.3,7.46
83,"female",75,"75+",0.71,0.056819,0.05525,62152,3433.9,8.02
83,"male",75,"75+",0.75,0.076235,0.073435,49716.9,3651,6.95
84,"female",75,"75+",0.71,0.064521,0.062504,58718.1,3670.1,7.46
