age,mx,qx,lx,dx,ex
0,0.003582,0.003576,100000.0,357.6,83.33
1,0.000213,0.000213,99642.4,21.2,82.63
2,0.000125,0.000125,99621.2,12.4,81.65
3,0.000098,0.000098,99608.8,9.8,80.66
4,0.000064,0.000064,99599.0,6.4,79.67
5,0.000085,0.000085,99592.6,8.5,78.67
6,0.000079,0.000079,99584.1,7.8,77.68
7,0.000061,0.000061,99576.3,6.0,76.68
8,0.000064,0.000064,99570.3,6.3,75.69
9,0.000056,0.000056,99563.9,5.6,74.69
10,0.000064,0.000064,99558.3,6.4,73.70
11,0.000062,0.000062,99551.9,6.2,72.70
12,0.000057,0.000057,99545.8,5.6,71.71
13,0.000079,0.000079,99540.1,7.9,70.71
14,0.000092,0.000092,99532.2,9.1,69.72
15,0.000098,0.000098,99523.1,9.8,68.72
16,0.000148,0.000148,99513.3,14.7,67.73
17,0.000159,0.000159,99498.6,15.8,66.74
18,0.000211,0.000211,99482.8,20.9,65.75
19,0.000194,0.000194,99461.8,19.3,64.76
20,0.000179,0.000179,99442.6,17.8,63.78
21,0.000201,0.000201,99424.8,20.0,62.79
22,0.000215,0.000215,99404.8,21.4,61.80
23,0.000200,0.000200,99383.4,19.9,60.81
24,0.000218,0.000218,99363.5,21.6,59.82
25,0.000244,0.000244,99341.9,24.3,58.84
26,0.000259,0.000259,99317.7,25.7,57.85
27,0.000270,0.000270,99291.9,26.9,56.87
28,0.000304,0.000304,99265.1,30.2,55.88
29,0.000302,0.000302,99234.9,30.0,54.90
30,0.000358,0.000358,99204.9,35.5,53.92
31,0.000369,0.000369,99169.4,36.6,52.93
32,0.000436,0.000436,99132.9,43.2,51.95
33,0.000451,0.000451,99089.7,44.7,50.98
34,0.000525,0.000525,99045.0,52.0,50.00
35,0.000554,0.000554,98993.0,54.8,49.03
36,0.000583,0.000583,98938.1,57.7,48.05
37,0.000746,0.000746,98880.5,73.8,47.08
38,0.000703,0.000703,98806.7,69.4,46.11
39,0.000771,0.000770,98737.2,76.1,45.15
40,0.000829,0.000828,98661.2,81.7,44.18
41,0.000916,0.000916,98579.5,90.2,43.22
42,0.001028,0.001027,98489.2,101.2,42.26
43,0.001098,0.001098,98388.0,108.0,41.30
44,0.001261,0.001260,98280.0,123.8,40.34
45,0.001361,0.001360,98156.2,133.5,39.39
46,0.001495,0.001494,98022.7,146.4,38.45
47,0.001620,0.001618,97876.3,158.4,37.50
48,0.001772,0.001770,97717.9,173.0,36.56
49,0.001899,0.001897,97544.9,185.0,35.63
50,0.002091,0.002089,97359.9,203.4,34.69
51,0.002277,0.002274,97156.5,221.0,33.77
52,0.002478,0.002474,96935.5,239.9,32.84
53,0.002591,0.002587,96695.6,250.2,31.92
54,0.002773,0.002770,96445.5,267.1,31.00
55,0.003089,0.003084,96178.3,296.6,30.09
56,0.003400,0.003395,95881.7,325.5,29.18
57,0.003689,0.003682,95556.2,351.9,28.28
58,0.004082,0.004073,95204.4,387.8,27.38
59,0.004403,0.004393,94816.6,416.5,26.49
60,0.004852,0.004841,94400.0,456.9,25.61
61,0.005299,0.005285,93943.1,496.5,24.73
62,0.006098,0.006079,93446.6,568.1,23.86
63,0.006478,0.006457,92878.5,599.7,23.00
64,0.007006,0.006982,92278.7,644.3,22.15
65,0.007698,0.007668,91634.5,702.7,21.30
66,0.008278,0.008244,90931.8,749.7,20.46
67,0.009053,0.009012,90182.1,812.7,19.62
68,0.010082,0.010032,89369.4,896.5,18.80
69,0.010880,0.010821,88472.9,957.3,17.98
70,0.012030,0.011958,87515.5,1046.6,17.17
71,0.012970,0.012887,86469.0,1114.3,16.38
72,0.014884,0.014774,85354.7,1261.0,15.58
73,0.017035,0.016891,84093.7,1420.4,14.81
74,0.018668,0.018495,82673.2,1529.1,14.06
75,0.020912,0.020696,81144.2,1679.4,13.31
76,0.023611,0.023336,79464.8,1854.4,12.58
77,0.026807,0.026453,77610.5,2053.0,11.87
78,0.030388,0.029934,75557.5,2261.7,11.18
79,0.034189,0.033615,73295.7,2463.8,10.51
80,0.038372,0.037650,70831.9,2666.8,9.86
81,0.043276,0.042359,68165.1,2887.4,9.22
82,0.049059,0.047884,65277.7,3125.8,8.61
83,0.056819,0.055250,62152.0,3433.9,8.02
84,0.064521,0.062504,58718.1,3670.1,7.46
85,0.074049,0.071406,55047.9,3930.7,6.92
86,0.085076,0.081605,51117.2,4171.4,6.41
87,0.096453,0.092016,46945.8,4319.7,5.94
88,0.110923,0.105094,42626.1,4479.8,5.49
89,0.124474,0.117181,38146.3,4470.0,5.08
90,0.140894,0.131622,33676.3,4432.5,4.68
91,0.159746,0.147930,29243.8,4326.0,4.32
92,0.180050,0.165179,24917.7,4115.9,3.98
93,0.201066,0.182699,20801.8,3800.5,3.67
94,0.226271,0.203273,17001.4,3455.9,3.38
95,0.255483,0.226544,13545.4,3068.6,3.11
96,0.286263,0.250420,10476.8,2623.6,2.88
97,0.308323,0.267140,7853.2,2097.9,2.67
98,0.343826,0.293389,5755.3,1688.5,2.47
99,0.373434,0.314678,4066.8,1279.7,2.28
100,0.424693,0.350306,2787,976.3,2.1
