age,mx,qx,lx,dx,ex
0,0.004321,0.004312,100000.0,431.2,79.67
1,0.000242,0.000242,99568.8,24.1,79.02
2,0.000132,0.000132,99544.7,13.2,78.04
3,0.000102,0.000102,99531.5,10.1,77.05
4,0.000094,0.000094,99521.4,9.4,76.06
5,0.000089,0.000089,99512.0,8.9,75.06
6,0.000083,0.000083,99503.1,8.3,74.07
7,0.000073,0.000073,99494.8,7.3,73.08
8,0.000064,0.000064,99487.5,6.4,72.08
9,0.000062,0.000062,99481.1,6.2,71.09
10,0.000072,0.000072,99475.0,7.2,70.09
11,0.000081,0.000081,99467.8,8.1,69.09
12,0.000105,0.000105,99459.7,10.4,68.10
13,0.000125,0.000125,99449.3,12.4,67.11
14,0.000116,0.000116,99436.9,11.5,66.12
15,0.000169,0.000169,99425.4,16.8,65.12
16,0.000220,0.000220,99408.5,21.9,64.13
17,0.000303,0.000303,99386.7,30.2,63.15
18,0.000387,0.000387,99356.5,38.5,62.17
19,0.000415,0.000415,99318.0,41.2,61.19
20,0.000503,0.000503,99276.8,49.9,60.22
21,0.000498,0.000498,99226.9,49.4,59.25
22,0.000479,0.000478,99177.4,47.5,58.28
23,0.000470,0.000470,99130.0,46.6,57.30
24,0.000513,0.000513,99083.4,50.8,56.33
25,0.000538,0.000538,99032.6,53.3,55.36
26,0.000543,0.000543,98979.3,53.7,54.39
27,0.000574,0.000574,98925.6,56.7,53.42
28,0.000629,0.000629,98868.8,62.1,52.45
29,0.000664,0.000664,98806.7,65.6,51.48
30,0.000711,0.000711,98741.1,70.2,50.51
31,0.000772,0.000772,98670.9,76.2,49.55
32,0.000756,0.000755,98594.7,74.5,48.59
33,0.000861,0.000861,98520.2,84.8,47.62
34,0.000893,0.000892,98435.4,87.8,46.66
35,0.000968,0.000967,98347.6,95.1,45.71
36,0.001051,0.001050,98252.5,103.2,44.75
37,0.001212,0.001211,98149.3,118.9,43.80
38,0.001179,0.001178,98030.4,115.5,42.85
39,0.001291,0.001290,97914.9,126.3,41.90
40,0.001431,0.001430,97788.6,139.8,40.95
41,0.001535,0.001534,97648.7,149.8,40.01
42,0.001678,0.001676,97498.9,163.4,39.07
43,0.001853,0.001851,97335.5,180.2,38.14
44,0.001962,0.001960,97155.3,190.4,37.21
45,0.002226,0.002223,96964.9,215.6,36.28
46,0.002306,0.002304,96749.3,222.9,35.36
47,0.002573,0.002570,96526.4,248.1,34.44
48,0.002719,0.002715,96278.4,261.4,33.53
49,0.003047,0.003042,96017.0,292.1,32.62
50,0.003239,0.003233,95724.8,309.5,31.71
51,0.003496,0.003490,95415.3,333.0,30.81
52,0.003755,0.003748,95082.3,356.4,29.92
53,0.004021,0.004013,94725.9,380.1,29.03
54,0.004318,0.004309,94345.8,406.5,28.15
55,0.004653,0.004642,93939.3,436.1,27.27
56,0.005192,0.005178,93503.2,484.2,26.39
57,0.005695,0.005678,93019.0,528.2,25.53
58,0.006208,0.006189,92490.8,572.4,24.67
59,0.006728,0.006705,91918.3,616.3,23.82
60,0.007414,0.007386,91302.0,674.4,22.98
61,0.008049,0.008017,90627.6,726.5,22.14
62,0.008998,0.008958,89901.1,805.3,21.32
63,0.009929,0.009880,89095.8,880.3,20.51
64,0.010735,0.010678,88215.5,942.0,19.71
65,0.011872,0.011802,87273.5,1030.0,18.91
66,0.012985,0.012901,86243.5,1112.6,18.13
67,0.014160,0.014060,85130.9,1197.0,17.36
68,0.015490,0.015371,83933.9,1290.1,16.60
69,0.016987,0.016844,82643.8,1392.1,15.86
70,0.017956,0.017796,81251.8,1446.0,15.12
71,0.020010,0.019812,79805.8,1581.1,14.38
72,0.021869,0.021632,78224.7,1692.2,13.66
73,0.025311,0.024995,76532.5,1912.9,12.96
74,0.027602,0.027226,74619.6,2031.6,12.27
75,0.030891,0.030421,72588.0,2208.2,11.60
76,0.034948,0.034348,70379.8,2417.4,10.95
77,0.038670,0.037937,67962.4,2578.3,10.32
78,0.043514,0.042587,65384.2,2784.5,9.71
79,0.048056,0.046928,62599.6,2937.7,9.12
80,0.054329,0.052892,59662.0,3155.7,8.55
81,0.060667,0.058881,56506.3,3327.1,8.00
82,0.067296,0.065106,53179.2,3462.3,7.46
83,0.076235,0.073435,49716.9,3651.0,6.95
84,0.087106,0.083471,46065.9,3845.2,6.46
85,0.097770,0.093214,42220.8,3935.5,6.00
86,0.111136,0.105286,38285.2,4030.9,5.57
87,0.124636,0.117324,34254.4,4018.9,5.17
88,0.141065,0.131771,30235.5,3984.2,4.79
89,0.160029,0.148173,26251.3,3889.7,4.44
90,0.171303,0.157788,22361.6,3528.4,4.12
91,0.194057,0.176893,18833.2,3331.5,3.80
92,0.215207,0.194300,15501.7,3012.0,3.51
93,0.239683,0.214033,12489.8,2673.2,3.23
94,0.268883,0.237018,9816.5,2326.7,2.98
95,0.301158,0.261745,7489.8,1960.4,2.75
96,0.339814,0.290462,5529.4,1606.1,2.55
97,0.360074,0.305138,3923.3,1197.2,2.38
98,0.390059,0.326401,2726.2,889.8,2.21
99,0.451980,0.368665,1836.3,677.0,2.04
100,0.481498,0.38807,1159.3,449.9,1.94
