"age","f_Lx","f_Qx_0","f_Qx_15","f_Qx_35","m_Lx","m_Qx_0","m_Qx_15","m_Qx_35"
"0",83.33,"68.24","39.92","23.61",79.67,"68.21","40.62","24.36"
"1",82.63,"67.60","39.78","23.62",79.02,"67.59","40.47","24.37"
"2",81.65,"66.74","39.49","23.54",78.04,"66.68","40.16","24.28"
"3",80.66,"65.87","39.20","23.46",77.05,"65.77","39.83","24.18"
"4",79.67,"65.00","38.90","23.37",76.06,"64.86","39.50","24.08"
"5",78.67,"64.13","38.59","23.28",75.06,"63.95","39.17","23.98"
"6",77.68,"63.25","38.28","23.19",74.07,"63.04","38.83","23.87"
"7",76.68,"62.38","37.97","23.10",73.08,"62.13","38.48","23.75"
"8",75.69,"61.51","37.65","23.00",72.08,"61.21","38.13","23.64"
"9",74.69,"60.63","37.33","22.90",71.09,"60.30","37.77","23.52"
"10",73.7,"59.76","37.00","22.79",70.09,"59.38","37.41","23.39"
"11",72.7,"58.89","36.66","22.68",69.09,"58.47","37.04","23.26"
"12",71.71,"58.01","36.33","22.57",68.1,"57.56","36.67","23.13"
"13",70.71,"57.14","35.98","22.45",67.11,"56.65","36.29","22.99"
"14",69.72,"56.26","35.63","22.33",66.12,"55.73","35.91","22.85"
"15",68.72,"55.39","35.28","22.21",65.12,"54.82","35.52","22.70"
"16",67.73,"54.52","34.92","22.08",64.13,"53.91","35.13","22.55"
"17",66.74,"53.65","34.56","21.94",63.15,"53.01","34.73","22.39"
"18",65.75,"52.78","34.19","21.81",62.17,"52.11","34.33","22.23"
"19",64.76,"51.94","33.85","21.69",61.19,"51.20","33.91","22.05"
"20",63.78,"51.09","33.49","21.57",60.22,"50.29","33.49","21.87"
"21",62.79,"50.24","33.13","21.44",59.25,"49.42","33.10","21.72"
"22",61.8,"49.39","32.76","21.30",58.28,"48.55","32.71","21.57"
"23",60.81,"48.54","32.39","21.16",57.3,"47.68","32.31","21.41"
"24",59.82,"47.69","32.01","21.02",56.33,"46.81","31.90","21.24"
"25",58.84,"46.85","31.62","20.87",55.36,"45.93","31.49","21.07"
"26",57.85,"45.99","31.22","20.71",54.39,"45.06","31.07","20.90"
"27",56.87,"45.13","30.82","20.54",53.42,"44.19","30.64","20.71"
"28",55.88,"44.27","30.41","20.36",52.45,"43.32","30.21","20.52"
"29",54.9,"43.42","29.99","20.18",51.48,"42.46","29.78","20.33"
"30",53.92,"42.56","29.56","20.00",50.51,"41.59","29.34","20.13"
"31",52.93,"41.71","29.14","19.80",49.55,"40.70","28.87","19.90"
"32",51.95,"40.85","28.70","19.60",48.59,"39.82","28.39","19.67"
"33",50.98,"40.00","28.26","19.40",47.62,"38.94","27.91","19.42"
"34",50,"39.15","27.82","19.19",46.66,"38.05","27.43","19.17"
"35",49.03,"38.30","27.37","18.97",45.71,"37.17","26.94","18.91"
"36",48.05,"37.47","26.92","18.76",44.75,"36.35","26.49","18.70"
"37",47.08,"36.63","26.48","18.54",43.8,"35.52","26.04","18.48"
"38",46.11,"35.81","26.03","18.32",42.85,"34.70","25.59","18.26"
"39",45.15,"34.98","25.57","18.09",41.9,"33.88","25.12","18.03"
"40",44.18,"34.15","25.11","17.86",40.95,"33.06","24.66","17.79"
"41",43.22,"33.33","24.64","17.62",40.01,"32.23","24.18","17.54"
"42",42.26,"32.52","24.18","17.38",39.07,"31.41","23.69","17.27"
"43",41.3,"31.70","23.71","17.13",38.14,"30.59","23.20","17.00"
"44",40.34,"30.89","23.23","16.87",37.21,"29.77","22.71","16.73"
"45",39.39,"30.08","22.75","16.61",36.28,"28.96","22.21","16.45"
"46",38.45,"29.32","22.30","16.38",35.36,"28.20","21.76","16.21"
"47",37.5,"28.55","21.85","16.14",34.44,"27.44","21.30","15.96"
"48",36.56,"27.79","21.40","15.90",33.53,"26.69","20.84","15.71"
"49",35.63,"27.04","20.94","15.65",32.62,"25.94","20.37","15.45"
"50",34.69,"26.28","20.47","15.39",31.71,"25.20","19.91","15.19"
"51",33.77,"25.54","20.01","15.14",30.81,"24.44","19.42","14.91"
"52",32.84,"24.80","19.55","14.87",29.92,"23.69","18.93","14.61"
"53",31.92,"24.06","19.08","14.61",29.03,"22.94","18.44","14.32"
"54",31,"23.32","18.60","14.33",28.15,"22.20","17.94","14.01"
"55",30.09,"22.59","18.12","14.04",27.27,"21.45","17.44","13.70"
"56",29.18,"21.86","17.65","13.76",26.39,"20.74","16.96","13.40"
"57",28.28,"21.15","17.17","13.47",25.53,"20.04","16.48","13.10"
"58",27.38,"20.43","16.69","13.17",24.67,"19.34","16.00","12.80"
"59",26.49,"19.72","16.20","12.87",23.82,"18.65","15.52","12.49"
"60",25.61,"19.02","15.71","12.56",22.98,"17.97","15.03","12.18"
"61",24.73,"18.33","15.24","12.26",22.14,"17.30","14.55","11.86"
"62",23.86,"17.65","14.76","11.95",21.32,"16.63","14.07","11.54"
"63",23,"16.98","14.28","11.64",20.51,"15.97","13.59","11.22"
"64",22.15,"16.31","13.80","11.32",19.71,"15.32","13.11","10.89"
"65",21.3,"15.65","13.31","10.99",18.91,"14.68","12.63","10.56"
"66",20.46,"14.99","12.83","10.66",18.13,"14.05","12.16","10.23"
"67",19.62,"14.34","12.34","10.32",17.36,"13.44","11.69","9.90"
"68",18.8,"13.69","11.85","9.97",16.6,"12.82","11.22","9.56"
"69",17.98,"13.05","11.36","9.62",15.86,"12.22","10.75","9.21"
"70",17.17,"12.42","10.86","9.25",15.12,"11.63","10.28","8.87"
"71",16.38,"11.78","10.36","8.88",14.38,"11.03","9.81","8.51"
"72",15.58,"11.14","9.85","8.49",13.66,"10.44","9.33","8.15"
"73",14.81,"10.52","9.35","8.10",12.96,"9.86","8.86","7.78"
"74",14.06,"9.91","8.85","7.71",12.27,"9.31","8.40","7.42"
"75",13.31,"9.31","8.35","7.32",11.6,"8.75","7.94","7.05"
"76",12.58,"8.77","7.90","6.97",10.95,"8.23","7.50","6.70"
"77",11.87,"8.24","7.46","6.62",10.32,"7.72","7.07","6.35"
"78",11.18,"7.72","7.03","6.27",9.71,"7.22","6.64","6.00"
"79",10.51,"7.22","6.60","5.92",9.12,"6.73","6.23","5.65"
"80",9.86,"6.73","6.18","5.58",8.55,"6.26","5.81","5.30"
"81",9.22,"6.26","5.79","5.25",8,"5.82","5.43","4.98"
"82",8.61,"5.82","5.40","4.92",7.46,"5.39","5.05","4.66"
"83",8.02,"5.38","5.02","4.60",6.95,"4.98","4.68","4.33"
"84",7.46,"4.97","4.65","4.28",6.46,"4.57","4.32","4.02"
"85",6.92,"4.56","4.29","3.97",6,"4.19","3.97","3.71"
"86",6.41,"4.22","3.98","3.70",5.57,"3.85","3.66","3.44"
"87",5.94,"3.90","3.70","3.46",5.17,"3.54","3.38","3.18"
"88",5.49,"3.60","3.42","3.21",4.79,"3.23","3.09","2.93"
"89",5.08,"3.32","3.17","2.99",4.44,"2.94","2.82","2.68"
"90",4.68,"3.05","2.92","2.77",4.12,"2.66","2.56","2.44"
"91",4.32,"2.79","2.69","2.56",3.8,"2.45","2.36","2.26"
"92",3.98,"2.56","2.47","2.36",3.51,"2.25","2.18","2.09"
"93",3.67,"2.33","2.26","2.17",3.23,"2.05","1.99","1.92"
"94",3.38,"2.11","2.05","1.98",2.98,"1.87","1.82","1.76"
"95",3.11,"1.90","1.85","1.80",2.75,"1.69","1.65","1.60"
"96",2.88,"1.69","1.66","1.61",2.55,"1.51","1.49","1.45"
"97",2.67,"1.48","1.46","1.43",2.38,"1.34","1.32","1.30"
"98",2.47,"1.23","1.22","1.20",2.21,"1.13","1.12","1.11"
"99",2.28,"0.94","0.93","0.92",2.04,"0.87","0.86","0.86"
"100",2.1," NA"," NA"," NA",1.94," NA"," NA"," NA"
