"sex","age5_str","m_ci","n"
"female","16-17","0.881 (0.874; 0.904)",151
"female","18-19","0.864 (0.852; 0.899)",122
"female","20-24","0.866 (0.860; 0.885)",370
"female","25-29","0.873 (0.868; 0.889)",515
"female","30-34","0.870 (0.865; 0.885)",669
"female","35-39","0.857 (0.853; 0.871)",722
"female","40-44","0.850 (0.845; 0.867)",668
"female","45-49","0.815 (0.810; 0.833)",693
"female","50-54","0.805 (0.799; 0.824)",729
"female","55-59","0.802 (0.796; 0.821)",730
"female","60-64","0.784 (0.778; 0.805)",608
"female","65-69","0.782 (0.776; 0.802)",619
"female","70-74","0.787 (0.782; 0.804)",619
"female","75-79","0.741 (0.734; 0.764)",399
"female","80-84","0.717 (0.709; 0.745)",268
"female","85-89","0.665 (0.653; 0.706)",145
"female","90+","0.665 (0.650; 0.716)",67
"male","16-17","0.916 (0.909; 0.936)",146
"male","18-19","0.933 (0.928; 0.951)",110
"male","20-24","0.895 (0.890; 0.912)",298
"male","25-29","0.895 (0.890; 0.913)",366
"male","30-34","0.916 (0.912; 0.928)",450
"male","35-39","0.862 (0.855; 0.886)",465
"male","40-44","0.870 (0.865; 0.888)",498
"male","45-49","0.824 (0.816; 0.847)",527
"male","50-54","0.837 (0.832; 0.854)",529
"male","55-59","0.817 (0.811; 0.836)",582
"male","60-64","0.809 (0.803; 0.830)",532
"male","65-69","0.798 (0.792; 0.818)",568
"male","70-74","0.802 (0.797; 0.821)",505
"male","75-79","0.791 (0.784; 0.813)",335
"male","80-84","0.773 (0.764; 0.802)",233
"male","85-89","0.718 (0.703; 0.765)",126
"male","90+","0.663 (0.642; 0.728)",49
