"sex","age5_str","m_ci","n"
"female","16-17","0.878 (0.870; 0.896)",151
"female","18-19","0.856 (0.846; 0.895)",122
"female","20-24","0.859 (0.853; 0.875)",370
"female","25-29","0.869 (0.864; 0.881)",515
"female","30-34","0.869 (0.867; 0.883)",669
"female","35-39","0.854 (0.850; 0.869)",722
"female","40-44","0.846 (0.842; 0.861)",668
"female","45-49","0.806 (0.801; 0.820)",693
"female","50-54","0.798 (0.793; 0.815)",729
"female","55-59","0.791 (0.787; 0.809)",730
"female","60-64","0.776 (0.769; 0.797)",608
"female","65-69","0.775 (0.770; 0.795)",619
"female","70-74","0.784 (0.779; 0.801)",619
"female","75-79","0.730 (0.724; 0.755)",399
"female","80-84","0.710 (0.699; 0.733)",268
"female","85-89","0.666 (0.657; 0.707)",145
"female","90+","0.666 (0.651; 0.721)",67
"male","16-17","0.918 (0.910; 0.935)",146
"male","18-19","0.930 (0.925; 0.945)",110
"male","20-24","0.894 (0.889; 0.910)",298
"male","25-29","0.895 (0.890; 0.907)",366
"male","30-34","0.915 (0.911; 0.925)",450
"male","35-39","0.863 (0.853; 0.887)",465
"male","40-44","0.872 (0.868; 0.887)",498
"male","45-49","0.822 (0.815; 0.844)",527
"male","50-54","0.836 (0.831; 0.852)",529
"male","55-59","0.809 (0.803; 0.826)",582
"male","60-64","0.803 (0.798; 0.822)",532
"male","65-69","0.797 (0.792; 0.818)",568
"male","70-74","0.801 (0.794; 0.818)",505
"male","75-79","0.788 (0.781; 0.806)",335
"male","80-84","0.767 (0.760; 0.801)",233
"male","85-89","0.727 (0.704; 0.764)",126
"male","90+","0.656 (0.635; 0.730)",49
