"sex","age5_str","m_ci","n"
"female","16-17","0.881 (0.872; 0.898)",151
"female","18-19","0.864 (0.850; 0.904)",122
"female","20-24","0.866 (0.860; 0.882)",370
"female","25-29","0.873 (0.867; 0.885)",515
"female","30-34","0.870 (0.867; 0.887)",669
"female","35-39","0.857 (0.853; 0.871)",722
"female","40-44","0.850 (0.846; 0.865)",668
"female","45-49","0.815 (0.811; 0.829)",693
"female","50-54","0.805 (0.799; 0.821)",729
"female","55-59","0.802 (0.798; 0.820)",730
"female","60-64","0.784 (0.778; 0.805)",608
"female","65-69","0.782 (0.777; 0.802)",619
"female","70-74","0.787 (0.782; 0.804)",619
"female","75-79","0.741 (0.734; 0.762)",399
"female","80-84","0.717 (0.707; 0.738)",268
"female","85-89","0.665 (0.660; 0.701)",145
"female","90+","0.665 (0.650; 0.715)",67
"male","16-17","0.916 (0.908; 0.935)",146
"male","18-19","0.933 (0.927; 0.949)",110
"male","20-24","0.895 (0.890; 0.911)",298
"male","25-29","0.895 (0.891; 0.911)",366
"male","30-34","0.916 (0.912; 0.926)",450
"male","35-39","0.862 (0.852; 0.888)",465
"male","40-44","0.870 (0.868; 0.888)",498
"male","45-49","0.824 (0.817; 0.846)",527
"male","50-54","0.837 (0.832; 0.853)",529
"male","55-59","0.817 (0.812; 0.833)",582
"male","60-64","0.809 (0.804; 0.828)",532
"male","65-69","0.798 (0.794; 0.819)",568
"male","70-74","0.802 (0.796; 0.819)",505
"male","75-79","0.791 (0.784; 0.809)",335
"male","80-84","0.773 (0.766; 0.806)",233
"male","85-89","0.718 (0.698; 0.756)",126
"male","90+","0.663 (0.641; 0.730)",49
