"sex","age5_str","m_ci","n"
"female","16-17","0.878 (0.871; 0.898)",151
"female","18-19","0.856 (0.844; 0.890)",122
"female","20-24","0.859 (0.854; 0.875)",370
"female","25-29","0.869 (0.863; 0.882)",515
"female","30-34","0.869 (0.865; 0.881)",669
"female","35-39","0.854 (0.850; 0.867)",722
"female","40-44","0.846 (0.841; 0.862)",668
"female","45-49","0.806 (0.802; 0.824)",693
"female","50-54","0.798 (0.795; 0.816)",729
"female","55-59","0.791 (0.784; 0.810)",730
"female","60-64","0.776 (0.767; 0.791)",608
"female","65-69","0.775 (0.768; 0.796)",619
"female","70-74","0.784 (0.778; 0.802)",619
"female","75-79","0.730 (0.725; 0.756)",399
"female","80-84","0.710 (0.701; 0.739)",268
"female","85-89","0.666 (0.651; 0.711)",145
"female","90+","0.666 (0.650; 0.713)",67
"male","16-17","0.918 (0.911; 0.937)",146
"male","18-19","0.930 (0.928; 0.946)",110
"male","20-24","0.894 (0.890; 0.905)",298
"male","25-29","0.895 (0.890; 0.906)",366
"male","30-34","0.915 (0.910; 0.926)",450
"male","35-39","0.863 (0.853; 0.884)",465
"male","40-44","0.872 (0.866; 0.892)",498
"male","45-49","0.822 (0.818; 0.846)",527
"male","50-54","0.836 (0.831; 0.856)",529
"male","55-59","0.809 (0.803; 0.828)",582
"male","60-64","0.803 (0.798; 0.825)",532
"male","65-69","0.797 (0.791; 0.814)",568
"male","70-74","0.801 (0.792; 0.813)",505
"male","75-79","0.788 (0.784; 0.810)",335
"male","80-84","0.767 (0.757; 0.795)",233
"male","85-89","0.727 (0.717; 0.774)",126
"male","90+","0.656 (0.635; 0.721)",49
